,q1_oxf_ks_limping,q1_oxf_ks_work,q1_oxf_ks_standing,pjr_diag,q1_eq5d_usual_activities,q1_oxf_ks_stairs,q1_oxf_ks_washing,cc_lbp,cc_hd_meds,q1_oxf_ks_shopping,side,q1_oxf_ks_walking,q1_oxf_ks_conf,pers_sex,cc_hbp_meds,bmi,pers_age,q1_eq5d_discomfort,sch_edu,q1_oxf_ks_kneeling,q1_eq5d_persol_care,cc_livd,cc_ii_arth,q1_eq5d_anxiety,cc_diab,q1_eq5d_vas,cc_sd_meds,non_sch_edu,cc_dep,tjr_any,cc_lud_meds,cc_dep_meds,q1_oxf_ks_night_pain,cc_hd,hr_prev,cc_sd,cc_lud,hr_prev_side,q1_oxf_ks_transport,cc_rf,kr_prev,cc_nc,cc_hbp,cc_diab_meds,kr_prev_side
0,0.07972767,0.057573505,0.052006084,0.04919024,0.04448543,0.038558118,0.03793782,0.03129327,0.026628604,0.025574435,0.023709157,0.023381798,0.023311792,0.023224859,0.020759782,0.020481763,0.019401558,0.019101564,0.018403511,0.01825225,0.0177859,0.017684843,0.017593054,0.016564539,0.016290408,0.015735488,0.015635686,0.015580479,0.015561524,0.015408454,0.014985695,0.014982257,0.014892036,0.013962727,0.013181038,0.013135489,0.013125113,0.0129125435,0.0127909165,0.01275176,0.011921402,0.010670454,0.009261184,0.008782902,0.005800825
1,0.12249107,0.056878325,0.06286696,0.02837595,0.020318225,0.04414592,0.015931183,0.025856936,0.017317228,0.01693358,0.022644777,0.021921754,0.02337679,0.014415893,0.017544359,0.018416783,0.020268926,0.013928525,0.017910069,0.018270873,0.020151542,0.019965539,0.015717303,0.022450984,0.011644225,0.014860607,0.020854006,0.013391399,0.011005734,0.02201031,0.01659773,0.014495892,0.015297638,0.015451999,0.0105610965,0.015738232,0.011534033,0.008643877,0.020493723,0.015263317,0.023186393,0.019257369,0.011346984,0.019840652,0.0104253255
2,0.09420838,0.07082482,0.0790674,0.02271211,0.0480773,0.045369267,0.018372726,0.019135261,0.012673922,0.015595646,0.018295385,0.02617001,0.01583723,0.019328883,0.016236817,0.018294463,0.020276608,0.032482468,0.014750518,0.017467365,0.01841391,0.023333764,0.01237879,0.022290684,0.0,0.018386785,0.01513092,0.013719841,0.0117969345,0.014862875,0.01603668,0.016913088,0.019052785,0.0,0.018430421,0.013574831,0.01582764,0.0060564745,0.020857966,0.011828741,0.0185291,0.018489001,0.023265637,0.013254446,0.012392098
3,0.061472487,0.057006292,0.0616434,0.038010422,0.03321603,0.055150155,0.036793508,0.030216705,0.015797954,0.015427927,0.019815389,0.028228763,0.024711547,0.015172109,0.02056938,0.018109791,0.0220455,0.032685015,0.01916118,0.020714208,0.015811378,0.014527595,0.022331247,0.02013269,0.019554568,0.014504516,0.021786071,0.018368969,0.0145060755,0.0,0.021024255,0.02828736,0.012030689,0.017665995,0.013223174,0.0,0.011116616,0.011394812,0.022176193,0.022143638,0.013647763,0.011086876,0.0,0.0112183625,0.017513406
4,0.097525716,0.04544631,0.038201626,0.05094983,0.022773787,0.05307474,0.021753391,0.03579281,0.019334104,0.01812256,0.017998442,0.022114633,0.017260825,0.015697418,0.015712421,0.018404095,0.01928073,0.016164469,0.017985051,0.024197731,0.022472365,0.016546264,0.023392173,0.017395036,0.013846006,0.016570099,0.022656372,0.016998209,0.016033702,0.01898298,0.0198981,0.018693201,0.015387322,0.0,0.014145945,0.012812383,0.028619178,0.01466373,0.02064747,0.014484814,0.0,0.0094581265,0.02656868,0.019210288,0.012726895
5,0.09378983,0.079003,0.052980393,0.024969693,0.018440163,0.033439636,0.026659453,0.01803086,0.018317064,0.015574662,0.022148049,0.03287641,0.017928004,0.013019232,0.015154248,0.018261446,0.01924085,0.026794376,0.016065689,0.020492185,0.022904562,0.015272211,0.02042488,0.021802828,0.025627963,0.017189147,0.009583502,0.018836617,0.0,0.01982495,0.021654284,0.016299263,0.023678403,0.0071663456,0.021364205,0.014489259,0.013073436,0.012748566,0.0142076695,0.039327756,0.01298056,0.018506372,0.0,0.016448786,0.013403148
6,0.07123523,0.05577061,0.05549797,0.058063015,0.025775386,0.04526714,0.027678011,0.022303008,0.030247567,0.013686305,0.019693447,0.032313876,0.020228738,0.020568388,0.026413389,0.018328479,0.021953268,0.02711314,0.015180787,0.01315815,0.015780013,0.012878903,0.014581315,0.021665867,0.0,0.019866878,0.01546987,0.0176042,0.02909108,0.0,0.016057558,0.012505326,0.017952261,0.016942117,0.013757559,0.020585712,0.021881217,0.015300141,0.017560348,0.010737662,0.012259983,0.009650119,0.007579079,0.026015572,0.013801337
7,0.10783019,0.061721236,0.048250392,0.025593266,0.03327722,0.028637534,0.017872674,0.024534317,0.014213183,0.02275809,0.018078689,0.023543011,0.015478017,0.013895358,0.016832257,0.018318396,0.021385456,0.026145125,0.021038432,0.030663151,0.02121449,0.03362911,0.013755245,0.020020444,0.017558876,0.017679041,0.01788081,0.017924417,0.031908732,0.0,0.023394719,0.023214506,0.015236389,0.014026256,0.013496351,0.0153496945,0.0,0.012841835,0.012990993,0.0064895675,0.013117656,0.017233688,0.025730224,0.011446178,0.013794762
8,0.06730925,0.047443453,0.052668817,0.02794,0.037151556,0.055718154,0.014090078,0.03190836,0.025407657,0.016257985,0.017669225,0.026350858,0.01719178,0.017989859,0.010364087,0.020013323,0.02113973,0.021951016,0.019148774,0.02364246,0.017693158,0.020766815,0.02923223,0.019920368,0.012624127,0.017434241,0.010512666,0.015876638,0.018291807,0.017295,0.024877613,0.011792183,0.022026507,0.023201257,0.018308315,0.023334296,0.016427169,0.0,0.019803047,0.016100658,0.0,0.01568321,0.017249282,0.01769452,0.022498526
9,0.07411739,0.03954133,0.059379414,0.028473224,0.03427236,0.039553136,0.024717327,0.029549414,0.019399269,0.014908568,0.017411947,0.021920739,0.016865026,0.014793616,0.01116936,0.018683663,0.019988522,0.0212986,0.022021327,0.022807019,0.015963264,0.014608048,0.014558977,0.026494995,0.00803319,0.017141232,0.020015877,0.017053718,0.024956033,0.015959235,0.016600829,0.0122611215,0.018209742,0.015916564,0.022673754,0.016029913,0.019292347,0.013776048,0.01308873,0.03230661,0.02536098,0.0,0.031809747,0.018279774,0.018737994
10,0.09729241,0.04371952,0.06242694,0.027086813,0.03520815,0.060208023,0.024627294,0.028604232,0.012599732,0.018567264,0.011306626,0.028041434,0.018943314,0.021244196,0.025903247,0.020032153,0.018309133,0.016884224,0.016139366,0.029089801,0.019188719,0.01673908,0.0122789135,0.021625878,0.015500521,0.02010398,0.024067154,0.015093782,0.014376637,0.0,0.0137796,0.012286567,0.015561099,0.016699607,0.016457794,0.015097131,0.018820778,0.020184223,0.01978482,0.0059095453,0.01169396,0.022636011,0.0,0.013711027,0.022169411
11,0.11708215,0.0669978,0.04698027,0.026117688,0.030698232,0.03305589,0.02481976,0.020188535,0.011720376,0.022189716,0.021811858,0.02125442,0.01498799,0.015198935,0.012041884,0.015762402,0.017858611,0.013741706,0.013537548,0.023017252,0.019470785,0.013475617,0.034501333,0.020398667,0.020664245,0.016516047,0.015633155,0.013511164,0.013522967,0.023307227,0.01715509,0.014000477,0.017758096,0.008929871,0.02671275,0.023904372,0.01626603,0.01338268,0.014822855,0.015791401,0.011471034,0.010103799,0.01710767,0.017531123,0.014998485
12,0.105417445,0.060508773,0.03663419,0.02526586,0.027776472,0.05108265,0.028830739,0.02260042,0.010013554,0.01917119,0.016311402,0.026707584,0.020656755,0.013061895,0.018668825,0.019091396,0.0200642,0.021869719,0.017543321,0.019540617,0.019812942,0.011666868,0.0133135095,0.018598748,0.016293965,0.019363392,0.018420644,0.020317266,0.020545801,0.013067982,0.014147617,0.013567834,0.019591046,0.017004192,0.015264775,0.015431568,0.014143587,0.018150106,0.021603664,0.0133714555,0.016771216,0.0110833375,0.017087035,0.01884854,0.021715933
13,0.09339016,0.052257545,0.050699975,0.04874147,0.046019588,0.035072125,0.017135713,0.023000497,0.00964114,0.023107708,0.014667358,0.025765903,0.016659683,0.015508684,0.013213311,0.019241339,0.025009414,0.019267153,0.018183243,0.025982741,0.018867943,0.015115371,0.0122673325,0.03046761,0.009415794,0.019662622,0.013233835,0.016499063,0.026713409,0.0,0.016569398,0.013433373,0.018819945,0.01599521,0.011339712,0.0,0.02363721,0.017668284,0.021600256,0.01824111,0.018816818,0.008351868,0.022608345,0.024889855,0.013220943
14,0.15601738,0.050869696,0.075439386,0.027063563,0.03195183,0.039809633,0.023010368,0.026028922,0.0,0.017422877,0.016805587,0.027238483,0.020102885,0.01557184,0.013571177,0.020599399,0.021891473,0.016683424,0.019266484,0.022617385,0.019268392,0.023849158,0.010598449,0.020507887,0.015781824,0.018909737,0.011859709,0.015599551,0.0,0.017653069,0.021606527,0.017237911,0.018583648,0.015312371,0.011745925,0.01331694,0.0058154464,0.0,0.01827205,0.015841821,0.015694141,0.0,0.021072838,0.017972812,0.011537889
15,0.09884157,0.08652985,0.073417544,0.016561525,0.03659985,0.034532193,0.024145681,0.03304811,0.024616616,0.019190162,0.015061773,0.029451301,0.02623605,0.014747596,0.0,0.016540699,0.021204075,0.026784543,0.015786521,0.020267187,0.02396225,0.009805467,0.013794426,0.024792323,0.0,0.015903652,0.011151696,0.017514186,0.0,0.02547801,0.0187769,0.0123517485,0.014312394,0.022627514,0.019881425,0.023749853,0.01618253,0.009543136,0.014143892,0.01926417,0.0,0.010023491,0.011671165,0.01870844,0.01279845
16,0.09756412,0.06563899,0.042190522,0.018926036,0.030386657,0.04379965,0.016071036,0.022555377,0.012076857,0.023309495,0.017671872,0.046732176,0.020491395,0.017550308,0.015829846,0.01762811,0.021744113,0.024492644,0.016940754,0.02348709,0.016449867,0.017880743,0.0,0.027894665,0.0,0.01750407,0.018182747,0.020456614,0.014934532,0.011379768,0.014444895,0.018748496,0.020939114,0.015145015,0.01663468,0.025181027,0.013460868,0.007453092,0.020657042,0.027586991,0.025268588,0.012266782,0.015375137,0.009732914,0.017335402
17,0.07258153,0.078695014,0.07968383,0.049551357,0.037154336,0.03521177,0.01604718,0.027533913,0.0,0.017483993,0.025860513,0.04356965,0.016837241,0.017855117,0.013846654,0.017973479,0.018077057,0.023433415,0.016638182,0.022341702,0.01849987,0.01452401,0.02156502,0.019552566,0.0,0.018783247,0.024355397,0.016467527,0.017813409,0.013981582,0.015129839,0.016115882,0.01566059,0.022495888,0.012767353,0.012929159,0.021319354,0.020852068,0.012632725,0.017939605,0.0075100404,0.0,0.0,0.008032612,0.020696485
18,0.13630804,0.057746515,0.06346124,0.023074262,0.028040359,0.038497612,0.023488864,0.028629169,0.022154164,0.032718092,0.021072537,0.024778772,0.018736163,0.01792965,0.015743677,0.021969115,0.023508891,0.018356843,0.02171547,0.02164268,0.01715465,0.007168051,0.0197209,0.018466037,0.0,0.019071212,0.017002866,0.018135235,0.0,0.019355215,0.012372143,0.01931071,0.018614488,0.013601315,0.011627015,0.0131290015,0.0,0.014137172,0.01689,0.0,0.019038498,0.014186917,0.023381792,0.0,0.028064672
19,0.08870875,0.024803897,0.036626194,0.0367779,0.041371185,0.06210276,0.02039287,0.041405093,0.021619324,0.018878857,0.018921083,0.02630152,0.01784636,0.020519596,0.0346767,0.019782325,0.021665303,0.03035106,0.017977647,0.022842553,0.017256359,0.015521508,0.017321117,0.02704369,0.020886684,0.016786154,0.021937722,0.023549048,0.019479867,0.0,0.0,0.022049334,0.014558824,0.019478742,0.017459808,0.012893317,0.018473031,0.010422652,0.02628712,0.006768628,0.0,0.0,0.011121732,0.018834256,0.018299408
